,Country,Sex,2016,2015,2010,2000,GDI 2015,HDI 2015
269,Namibia, FeM,4.9,5.1,5.7,5.9,0.981,0.628
272,Nepal, FeM,8.0,8.5,11.0,15.5,0.908,0.548
275,Netherlands, FeM,6.4,6.4,4.8,5.3,0.947,0.922
278,New Zealand, FeM,6.2,6.2,6.9,4.5,0.961,0.913
281,Nicaragua, FeM,5.0,5.1,5.5,8.0,0.96,0.631
284,Niger, FeM,6.7,6.7,7.2,7.0,0.729,0.348
287,Nigeria, FeM,17.1,17.6,20.1,20.6,0.841,0.514
290,Norway, FeM,6.5,7.0,6.5,6.0,0.996,0.944
293,Oman, FeM,0.9,1.0,1.0,1.6,0.909,0.793
296,Pakistan, FeM,3.1,3.2,3.5,4.4,0.726,0.538
299,Panama, FeM,1.2,1.4,1.5,1.6,0.996,0.78
302,Paraguay, FeM,6.2,6.3,6.0,6.4,0.956,0.679
305,Peru, FeM,2.7,2.7,2.5,3.3,0.947,0.734
308,Philippines, FeM,2.3,2.3,2.3,1.8,0.977,0.668
311,Poland, FeM,3.4,3.3,3.7,4.7,1.007,0.843
314,Portugal, FeM,3.8,3.8,4.2,2.1,0.985,0.83
317,Qatar, FeM,1.1,1.1,1.1,1.4,0.998,0.85
320,Russian Federation, FeM,7.5,7.9,10.2,13.7,1.019,0.798
323,Rwanda, FeM,6.0,6.2,7.2,19.4,0.957,0.483
326,Saint Lucia, FeM,2.1,2.1,1.6,2.4,0.991,0.729
329,Samoa, FeM,2.2,2.2,2.6,4.6,0.956,0.702
332,Saudi Arabia, FeM,1.7,1.7,1.7,1.4,0.901,0.837
335,Senegal, FeM,5.2,5.4,6.2,6.8,0.883,0.466
338,Serbia, FeM,5.2,5.2,5.2,9.1,0.966,0.771
341,Sierra Leone, FeM,14.2,13.9,14.3,16.6,0.814,0.413
344,Singapore, FeM,4.9,5.2,6.0,8.1,0.985,0.912
347,Slovakia, FeM,2.6,2.6,3.1,4.4,0.999,0.844
350,Slovenia, FeM,4.5,5.8,5.1,13.2,0.996,0.88
353,South Africa, FeM,5.1,5.3,6.1,7.1,0.948,0.666
356,Spain, FeM,3.1,3.0,2.2,3.0,0.975,0.876
359,Sri Lanka, FeM,6.2,6.1,8.4,13.5,0.948,0.757
362,Sudan, FeM,4.6,4.5,4.6,4.4,0.83,0.479
365,Suriname, FeM,10.9,11.4,13.3,11.6,0.975,0.714
368,Sweden, FeM,7.4,7.7,6.8,7.7,0.999,0.907
371,Switzerland, FeM,6.9,6.9,7.0,9.4,0.95,0.93
374,Tajikistan, FeM,1.7,1.8,1.8,2.2,0.926,0.624
377,Thailand, FeM,4.8,4.9,5.5,8.3,1.0,0.726
380,Togo, FeM,10.9,10.7,11.2,11.8,0.831,0.484
383,Tonga, FeM,2.9,2.9,3.1,3.9,0.967,0.717
386,Trinidad and Tobago, FeM,4.3,4.4,5.4,6.4,0.985,0.772
389,Tunisia, FeM,2.2,2.2,2.3,2.3,0.894,0.721
392,Turkey, FeM,3.2,3.3,3.8,2.9,0.902,0.761
395,Uganda, FeM,18.7,19.2,22.0,23.9,0.886,0.483
398,Ukraine, FeM,4.7,5.1,6.4,9.5,1.003,0.747
401,United Arab Emirates, FeM,0.8,0.8,0.9,1.5,0.954,0.835
404,Uruguay, FeM,7.1,7.0,6.7,5.5,1.018,0.793
407,Uzbekistan, FeM,4.6,4.5,3.3,4.5,0.945,0.675
410,Vanuatu, FeM,2.7,2.7,3.2,5.1,0.903,0.594
413,Yemen, FeM,6.2,6.3,6.6,5.5,0.739,0.498
416,Zambia, FeM,6.2,6.1,6.2,7.5,0.917,0.586
419,Zimbabwe, FeM,11.1,11.1,11.1,9.8,0.922,0.509
